codepoint,value,subnormal
0x01cf,0x1p-49, 
0x01d0,0x1p-48, 
0x01d1,0x1p-47, 
0x01d2,0x1p-46, 
0x01d3,0x1p-45, 
0x01d4,0x1p-44, 
0x01d5,0x1p-43, 
0x01d6,0x1p-42, 
0x01d7,0x1p-41, 
0x01d8,0x1p-40, 
0x01d9,0x1p-39, 
0x01da,0x1p-38, 
0x01db,0x1p-37, 
0x01dc,0x1p-36, 
0x01dd,0x1p-35, 
0x01de,0x1p-34, 
0x01df,0x1p-33, 
0x01e0,0x1p-32, 
0x01e1,0x1p-31, 
0x01e2,0x1p-30, 
0x01e3,0x1p-29, 
0x01e4,0x1p-28, 
0x01e5,0x1p-27, 
0x01e6,0x1p-26, 
0x01e7,0x1p-25, 
0x01e8,0x1p-24, 
0x01e9,0x1p-23, 
0x01ea,0x1p-22, 
0x01eb,0x1p-21, 
0x01ec,0x1p-20, 
0x01ed,0x1p-19, 
0x01ee,0x1p-18, 
0x01ef,0x1p-17, 
0x01f0,0x1p-16, 
0x01f1,0x1p-15, 
0x01f2,0x1p-14, 
0x01f3,0x1p-13, 
0x01f4,0x1p-12, 
0x01f5,0x1p-11, 
0x01f6,0x1p-10, 
0x01f7,0x1p-9, 
0x01f8,0x1p-8, 
0x01f9,0x1p-7, 
0x01fa,0x1p-6, 
0x01fb,0x1p-5, 
0x01fc,0x1p-4, 
0x01fd,0x1p-3, 
0x01fe,0x1p-2, 
0x01ff,0x1p-1, 
0x0200,0x1p+0, 
0x0201,0x1p+1, 
0x0202,0x1p+2, 
0x0203,0x1p+3, 
0x0204,0x1p+4, 
0x0205,0x1p+5, 
0x0206,0x1p+6, 
0x0207,0x1p+7, 
0x0208,0x1p+8, 
0x0209,0x1p+9, 
0x020a,0x1p+10, 
0x020b,0x1p+11, 
0x020c,0x1p+12, 
0x020d,0x1p+13, 
0x020e,0x1p+14, 
0x020f,0x1p+15, 
0x0210,0x1p+16, 
0x0211,0x1p+17, 
0x0212,0x1p+18, 
0x0213,0x1p+19, 
0x0214,0x1p+20, 
0x0215,0x1p+21, 
0x0216,0x1p+22, 
0x0217,0x1p+23, 
0x0218,0x1p+24, 
0x0219,0x1p+25, 
0x021a,0x1p+26, 
0x021b,0x1p+27, 
0x021c,0x1p+28, 
0x021d,0x1p+29, 
0x021e,0x1p+30, 
0x021f,0x1p+31, 
0x0220,0x1p+32, 
0x0221,0x1p+33, 
0x0222,0x1p+34, 
0x0223,0x1p+35, 
0x0224,0x1p+36, 
0x0225,0x1p+37, 
0x0226,0x1p+38, 
0x0227,0x1p+39, 
0x0228,0x1p+40, 
0x0229,0x1p+41, 
0x022a,0x1p+42, 
0x022b,0x1p+43, 
0x022c,0x1p+44, 
0x022d,0x1p+45, 
0x022e,0x1p+46, 
0x022f,0x1p+47, 
0x0230,0x1p+48, 
0x0231,0x1p+49, 
0x0232,0x1p+50, 
0x0233,0x1p+51, 
0x0234,0x1p+52, 
0x0235,0x1p+53, 
0x0236,0x1p+54, 
0x0237,0x1p+55, 
0x0238,0x1p+56, 
0x0239,0x1p+57, 
0x023a,0x1p+58, 
0x023b,0x1p+59, 
0x023c,0x1p+60, 
0x023d,0x1p+61, 
0x023e,0x1p+62, 
0x023f,0x1p+63, 
0x0240,0x1p+64, 
0x0241,0x1p+65, 
