codepoint,values,subnormal
0x01d1,0x1.4p-16268, 
0x01d2,0x1.8p-16268, 
0x01d3,0x1.cp-16268, 
0x01d4,0x1p-16267, 
0x01d5,0x1.4p-16267, 
0x01d6,0x1.8p-16267, 
0x01d7,0x1.cp-16267, 
0x01d8,0x1p-16266, 
0x01d9,0x1.4p-16266, 
0x01da,0x1.8p-16266, 
0x01db,0x1.cp-16266, 
0x01dc,0x1p-16265, 
0x01dd,0x1.4p-16265, 
0x01de,0x1.8p-16265, 
0x01df,0x1.cp-16265, 
0x01e0,0x1p-16264, 
0x01e1,0x1.4p-16264, 
0x01e2,0x1.8p-16264, 
0x01e3,0x1.cp-16264, 
0x01e4,0x1p-16263, 
0x01e5,0x1.4p-16263, 
0x01e6,0x1.8p-16263, 
0x01e7,0x1.cp-16263, 
0x01e8,0x1p-16262, 
0x01e9,0x1.4p-16262, 
0x01ea,0x1.8p-16262, 
0x01eb,0x1.cp-16262, 
0x01ec,0x1p-16261, 
0x01ed,0x1.4p-16261, 
0x01ee,0x1.8p-16261, 
0x01ef,0x1.cp-16261, 
0x01f0,0x1p-16260, 
0x01f1,0x1.4p-16260, 
0x01f2,0x1.8p-16260, 
0x01f3,0x1.cp-16260, 
0x01f4,0x1p-16259, 
0x01f5,0x1.4p-16259, 
0x01f6,0x1.8p-16259, 
0x01f7,0x1.cp-16259, 
0x01f8,0x1p-16258, 
0x01f9,0x1.4p-16258, 
0x01fa,0x1.8p-16258, 
0x01fb,0x1.cp-16258, 
0x01fc,0x1p-16257, 
0x01fd,0x1.4p-16257, 
0x01fe,0x1.8p-16257, 
0x01ff,0x1.cp-16257, 
0x0200,0x1p-16256, 
0x0201,0x1.4p-16256, 
0x0202,0x1.8p-16256, 
0x0203,0x1.cp-16256, 
0x0204,0x1p-16255, 
0x0205,0x1.4p-16255, 
0x0206,0x1.8p-16255, 
0x0207,0x1.cp-16255, 
0x0208,0x1p-16254, 
0x0209,0x1.4p-16254, 
0x020a,0x1.8p-16254, 
0x020b,0x1.cp-16254, 
0x020c,0x1p-16253, 
0x020d,0x1.4p-16253, 
0x020e,0x1.8p-16253, 
0x020f,0x1.cp-16253, 
0x0210,0x1p-16252, 
0x0211,0x1.4p-16252, 
0x0212,0x1.8p-16252, 
0x0213,0x1.cp-16252, 
0x0214,0x1p-16251, 
0x0215,0x1.4p-16251, 
0x0216,0x1.8p-16251, 
0x0217,0x1.cp-16251, 
0x0218,0x1p-16250, 
0x0219,0x1.4p-16250, 
0x021a,0x1.8p-16250, 
0x021b,0x1.cp-16250, 
0x021c,0x1p-16249, 
0x021d,0x1.4p-16249, 
0x021e,0x1.8p-16249, 
0x021f,0x1.cp-16249, 
0x0220,0x1p-16248, 
0x0221,0x1.4p-16248, 
0x0222,0x1.8p-16248, 
0x0223,0x1.cp-16248, 
0x0224,0x1p-16247, 
0x0225,0x1.4p-16247, 
0x0226,0x1.8p-16247, 
0x0227,0x1.cp-16247, 
0x0228,0x1p-16246, 
0x0229,0x1.4p-16246, 
0x022a,0x1.8p-16246, 
0x022b,0x1.cp-16246, 
0x022c,0x1p-16245, 
0x022d,0x1.4p-16245, 
0x022e,0x1.8p-16245, 
0x022f,0x1.cp-16245, 
0x0230,0x1p-16244, 
0x0231,0x1.4p-16244, 
0x0232,0x1.8p-16244, 
0x0233,0x1.cp-16244, 
0x0234,0x1p-16243, 
0x0235,0x1.4p-16243, 
0x0236,0x1.8p-16243, 
0x0237,0x1.cp-16243, 
0x0238,0x1p-16242, 
0x0239,0x1.4p-16242, 
0x023a,0x1.8p-16242, 
0x023b,0x1.cp-16242, 
0x023c,0x1p-16241, 
0x023d,0x1.4p-16241, 
0x023e,0x1.8p-16241, 
0x023f,0x1.cp-16241, 
0x0240,0x1p-16240, 
0x0241,0x1.4p-16240, 
0x0242,0x1.8p-16240, 
0x0243,0x1.cp-16240, 
0x0244,0x1p-16239, 
0x0245,0x1.4p-16239, 
0x0246,0x1.8p-16239, 
0x0247,0x1.cp-16239, 
0x0248,0x1p-16238, 
0x0249,0x1.4p-16238, 
0x024a,0x1.8p-16238, 
0x024b,0x1.cp-16238, 
0x024c,0x1p-16237, 
0x024d,0x1.4p-16237, 
0x024e,0x1.8p-16237, 
0x024f,0x1.cp-16237, 
0x0250,0x1p-16236, 
0x0251,0x1.4p-16236, 
0x0252,0x1.8p-16236, 
0x0253,0x1.cp-16236, 
0x0254,0x1p-16235, 
0x0255,0x1.4p-16235, 
0x0256,0x1.8p-16235, 
0x0257,0x1.cp-16235, 
0x0258,0x1p-16234, 
0x0259,0x1.4p-16234, 
0x025a,0x1.8p-16234, 
0x025b,0x1.cp-16234, 
0x025c,0x1p-16233, 
0x025d,0x1.4p-16233, 
0x025e,0x1.8p-16233, 
0x025f,0x1.cp-16233, 
0x0260,0x1p-16232, 
0x0261,0x1.4p-16232, 
0x0262,0x1.8p-16232, 
0x0263,0x1.cp-16232, 
0x0264,0x1p-16231, 
0x0265,0x1.4p-16231, 
0x0266,0x1.8p-16231, 
0x0267,0x1.cp-16231, 
0x0268,0x1p-16230, 
0x0269,0x1.4p-16230, 
0x026a,0x1.8p-16230, 
0x026b,0x1.cp-16230, 
0x026c,0x1p-16229, 
0x026d,0x1.4p-16229, 
0x026e,0x1.8p-16229, 
0x026f,0x1.cp-16229, 
0x0270,0x1p-16228, 
0x0271,0x1.4p-16228, 
0x0272,0x1.8p-16228, 
0x0273,0x1.cp-16228, 
0x0274,0x1p-16227, 
0x0275,0x1.4p-16227, 
0x0276,0x1.8p-16227, 
0x0277,0x1.cp-16227, 
0x0278,0x1p-16226, 
0x0279,0x1.4p-16226, 
0x027a,0x1.8p-16226, 
0x027b,0x1.cp-16226, 
0x027c,0x1p-16225, 
0x027d,0x1.4p-16225, 
0x027e,0x1.8p-16225, 
0x027f,0x1.cp-16225, 
0x0280,0x1p-16224, 
0x0281,0x1.4p-16224, 
0x0282,0x1.8p-16224, 
0x0283,0x1.cp-16224, 
0x0284,0x1p-16223, 
0x0285,0x1.4p-16223, 
0x0286,0x1.8p-16223, 
0x0287,0x1.cp-16223, 
0x0288,0x1p-16222, 
0x0289,0x1.4p-16222, 
0x028a,0x1.8p-16222, 
0x028b,0x1.cp-16222, 
0x028c,0x1p-16221, 
0x028d,0x1.4p-16221, 
0x028e,0x1.8p-16221, 
0x028f,0x1.cp-16221, 
0x0290,0x1p-16220, 
0x0291,0x1.4p-16220, 
0x0292,0x1.8p-16220, 
0x0293,0x1.cp-16220, 
0x0294,0x1p-16219, 
0x0295,0x1.4p-16219, 
0x0296,0x1.8p-16219, 
0x0297,0x1.cp-16219, 
0x0298,0x1p-16218, 
0x0299,0x1.4p-16218, 
0x029a,0x1.8p-16218, 
0x029b,0x1.cp-16218, 
0x029c,0x1p-16217, 
0x029d,0x1.4p-16217, 
0x029e,0x1.8p-16217, 
0x029f,0x1.cp-16217, 
0x02a0,0x1p-16216, 
0x02a1,0x1.4p-16216, 
0x02a2,0x1.8p-16216, 
0x02a3,0x1.cp-16216, 
0x02a4,0x1p-16215, 
0x02a5,0x1.4p-16215, 
0x02a6,0x1.8p-16215, 
0x02a7,0x1.cp-16215, 
0x02a8,0x1p-16214, 
0x02a9,0x1.4p-16214, 
0x02aa,0x1.8p-16214, 
0x02ab,0x1.cp-16214, 
0x02ac,0x1p-16213, 
0x02ad,0x1.4p-16213, 
0x02ae,0x1.8p-16213, 
0x02af,0x1.cp-16213, 
0x02b0,0x1p-16212, 
0x02b1,0x1.4p-16212, 
0x02b2,0x1.8p-16212, 
0x02b3,0x1.cp-16212, 
0x02b4,0x1p-16211, 
0x02b5,0x1.4p-16211, 
0x02b6,0x1.8p-16211, 
0x02b7,0x1.cp-16211, 
0x02b8,0x1p-16210, 
0x02b9,0x1.4p-16210, 
0x02ba,0x1.8p-16210, 
0x02bb,0x1.cp-16210, 
0x02bc,0x1p-16209, 
0x02bd,0x1.4p-16209, 
0x02be,0x1.8p-16209, 
0x02bf,0x1.cp-16209, 
0x02c0,0x1p-16208, 
0x02c1,0x1.4p-16208, 
0x02c2,0x1.8p-16208, 
0x02c3,0x1.cp-16208, 
0x02c4,0x1p-16207, 
0x02c5,0x1.4p-16207, 
0x02c6,0x1.8p-16207, 
0x02c7,0x1.cp-16207, 
0x02c8,0x1p-16206, 
0x02c9,0x1.4p-16206, 
0x02ca,0x1.8p-16206, 
0x02cb,0x1.cp-16206, 
0x02cc,0x1p-16205, 
0x02cd,0x1.4p-16205, 
0x02ce,0x1.8p-16205, 
0x02cf,0x1.cp-16205, 
0x02d0,0x1p-16204, 
0x02d1,0x1.4p-16204, 
0x02d2,0x1.8p-16204, 
0x02d3,0x1.cp-16204, 
0x02d4,0x1p-16203, 
0x02d5,0x1.4p-16203, 
0x02d6,0x1.8p-16203, 
0x02d7,0x1.cp-16203, 
0x02d8,0x1p-16202, 
0x02d9,0x1.4p-16202, 
0x02da,0x1.8p-16202, 
0x02db,0x1.cp-16202, 
0x02dc,0x1p-16201, 
0x02dd,0x1.4p-16201, 
0x02de,0x1.8p-16201, 
0x02df,0x1.cp-16201, 
0x02e0,0x1p-16200, 
0x02e1,0x1.4p-16200, 
0x02e2,0x1.8p-16200, 
0x02e3,0x1.cp-16200, 
