codepoint,value,subnormal
0x01e4,-0x1.c8p+0, 
0x01e5,-0x1.cap+0, 
0x01e6,-0x1.ccp+0, 
0x01e7,-0x1.cep+0, 
0x01e8,-0x1.dp+0, 
0x01e9,-0x1.d2p+0, 
0x01ea,-0x1.d4p+0, 
0x01eb,-0x1.d6p+0, 
0x01ec,-0x1.d8p+0, 
0x01ed,-0x1.dap+0, 
0x01ee,-0x1.dcp+0, 
0x01ef,-0x1.dep+0, 
0x01f0,-0x1.ep+0, 
0x01f1,-0x1.e2p+0, 
0x01f2,-0x1.e4p+0, 
0x01f3,-0x1.e6p+0, 
0x01f4,-0x1.e8p+0, 
0x01f5,-0x1.eap+0, 
0x01f6,-0x1.ecp+0, 
0x01f7,-0x1.eep+0, 
0x01f8,-0x1.fp+0, 
0x01f9,-0x1.f2p+0, 
0x01fa,-0x1.f4p+0, 
0x01fb,-0x1.f6p+0, 
0x01fc,-0x1.f8p+0, 
0x01fd,-0x1.fap+0, 
0x01fe,-0x1.fcp+0, 
0x01ff,-0x1.fep+0, 
