codepoint,values,subnormal
0x0192,0x0.192p-4,*
0x0193,0x0.193p-4,*
0x0194,0x0.194p-4,*
0x0195,0x0.195p-4,*
0x0196,0x0.196p-4,*
0x0197,0x0.197p-4,*
0x0198,0x0.198p-4,*
0x0199,0x0.199p-4,*
0x019a,0x0.19ap-4,*
0x019b,0x0.19bp-4,*
0x019c,0x0.19cp-4,*
0x019d,0x0.19dp-4,*
0x019e,0x0.19ep-4,*
0x019f,0x0.19fp-4,*
0x01a0,0x0.1ap-4,*
0x01a1,0x0.1a1p-4,*
0x01a2,0x0.1a2p-4,*
0x01a3,0x0.1a3p-4,*
0x01a4,0x0.1a4p-4,*
0x01a5,0x0.1a5p-4,*
0x01a6,0x0.1a6p-4,*
0x01a7,0x0.1a7p-4,*
0x01a8,0x0.1a8p-4,*
0x01a9,0x0.1a9p-4,*
0x01aa,0x0.1aap-4,*
0x01ab,0x0.1abp-4,*
0x01ac,0x0.1acp-4,*
0x01ad,0x0.1adp-4,*
0x01ae,0x0.1aep-4,*
0x01af,0x0.1afp-4,*
0x01b0,0x0.1bp-4,*
0x01b1,0x0.1b1p-4,*
0x01b2,0x0.1b2p-4,*
0x01b3,0x0.1b3p-4,*
0x01b4,0x0.1b4p-4,*
0x01b5,0x0.1b5p-4,*
0x01b6,0x0.1b6p-4,*
0x01b7,0x0.1b7p-4,*
0x01b8,0x0.1b8p-4,*
0x01b9,0x0.1b9p-4,*
0x01ba,0x0.1bap-4,*
0x01bb,0x0.1bbp-4,*
0x01bc,0x0.1bcp-4,*
0x01bd,0x0.1bdp-4,*
0x01be,0x0.1bep-4,*
0x01bf,0x0.1bfp-4,*
0x01c0,0x0.1cp-4,*
0x01c1,0x0.1c1p-4,*
0x01c2,0x0.1c2p-4,*
0x01c3,0x0.1c3p-4,*
0x01c4,0x0.1c4p-4,*
0x01c5,0x0.1c5p-4,*
0x01c6,0x0.1c6p-4,*
0x01c7,0x0.1c7p-4,*
0x01c8,0x0.1c8p-4,*
0x01c9,0x0.1c9p-4,*
0x01ca,0x0.1cap-4,*
0x01cb,0x0.1cbp-4,*
0x01cc,0x0.1ccp-4,*
0x01cd,0x0.1cdp-4,*
0x01ce,0x0.1cep-4,*
0x01cf,0x0.1cfp-4,*
0x01d0,0x0.1dp-4,*
0x01d1,0x0.1d1p-4,*
0x01d2,0x0.1d2p-4,*
0x01d3,0x0.1d3p-4,*
0x01d4,0x0.1d4p-4,*
0x01d5,0x0.1d5p-4,*
0x01d6,0x0.1d6p-4,*
0x01d7,0x0.1d7p-4,*
0x01d8,0x0.1d8p-4,*
0x01d9,0x0.1d9p-4,*
