codepoint,value,subnormal
0x01f8,0x1.f8p-255, 
0x01f9,0x1.f9p-255, 
0x01fa,0x1.fap-255, 
0x01fb,0x1.fbp-255, 
0x01fc,0x1.fcp-255, 
0x01fd,0x1.fdp-255, 
0x01fe,0x1.fep-255, 
0x01ff,0x1.ffp-255, 
0x0200,0x1p-254, 
0x0201,0x1.01p-254, 
0x0202,0x1.02p-254, 
0x0203,0x1.03p-254, 
0x0204,0x1.04p-254, 
0x0205,0x1.05p-254, 
0x0206,0x1.06p-254, 
0x0207,0x1.07p-254, 
0x0208,0x1.08p-254, 
0x0209,0x1.09p-254, 
0x020a,0x1.0ap-254, 
0x020b,0x1.0bp-254, 
0x020c,0x1.0cp-254, 
0x020d,0x1.0dp-254, 
0x020e,0x1.0ep-254, 
0x020f,0x1.0fp-254, 
0x0210,0x1.1p-254, 
0x0211,0x1.11p-254, 
0x0212,0x1.12p-254, 
0x0213,0x1.13p-254, 
0x0214,0x1.14p-254, 
0x0215,0x1.15p-254, 
0x0216,0x1.16p-254, 
0x0217,0x1.17p-254, 
0x0218,0x1.18p-254, 
0x0219,0x1.19p-254, 
0x021a,0x1.1ap-254, 
0x021b,0x1.1bp-254, 
0x021c,0x1.1cp-254, 
0x021d,0x1.1dp-254, 
0x021e,0x1.1ep-254, 
0x021f,0x1.1fp-254, 
0x0220,0x1.2p-254, 
0x0221,0x1.21p-254, 
0x0222,0x1.22p-254, 
0x0223,0x1.23p-254, 
0x0224,0x1.24p-254, 
0x0225,0x1.25p-254, 
0x0226,0x1.26p-254, 
0x0227,0x1.27p-254, 
0x0228,0x1.28p-254, 
0x0229,0x1.29p-254, 
0x022a,0x1.2ap-254, 
0x022b,0x1.2bp-254, 
0x022c,0x1.2cp-254, 
0x022d,0x1.2dp-254, 
0x022e,0x1.2ep-254, 
0x022f,0x1.2fp-254, 
0x0230,0x1.3p-254, 
0x0231,0x1.31p-254, 
0x0232,0x1.32p-254, 
0x0233,0x1.33p-254, 
0x0234,0x1.34p-254, 
0x0235,0x1.35p-254, 
0x0236,0x1.36p-254, 
0x0237,0x1.37p-254, 
0x0238,0x1.38p-254, 
0x0239,0x1.39p-254, 
0x023a,0x1.3ap-254, 
0x023b,0x1.3bp-254, 
0x023c,0x1.3cp-254, 
0x023d,0x1.3dp-254, 
0x023e,0x1.3ep-254, 
0x023f,0x1.3fp-254, 
0x0240,0x1.4p-254, 
0x0241,0x1.41p-254, 
0x0242,0x1.42p-254, 
0x0243,0x1.43p-254, 
0x0244,0x1.44p-254, 
0x0245,0x1.45p-254, 
0x0246,0x1.46p-254, 
0x0247,0x1.47p-254, 
0x0248,0x1.48p-254, 
0x0249,0x1.49p-254, 
0x024a,0x1.4ap-254, 
0x024b,0x1.4bp-254, 
0x024c,0x1.4cp-254, 
0x024d,0x1.4dp-254, 
0x024e,0x1.4ep-254, 
0x024f,0x1.4fp-254, 
0x0250,0x1.5p-254, 
0x0251,0x1.51p-254, 
0x0252,0x1.52p-254, 
0x0253,0x1.53p-254, 
0x0254,0x1.54p-254, 
0x0255,0x1.55p-254, 
0x0256,0x1.56p-254, 
0x0257,0x1.57p-254, 
0x0258,0x1.58p-254, 
0x0259,0x1.59p-254, 
0x025a,0x1.5ap-254, 
0x025b,0x1.5bp-254, 
0x025c,0x1.5cp-254, 
0x025d,0x1.5dp-254, 
0x025e,0x1.5ep-254, 
0x025f,0x1.5fp-254, 
0x0260,0x1.6p-254, 
0x0261,0x1.61p-254, 
0x0262,0x1.62p-254, 
0x0263,0x1.63p-254, 
0x0264,0x1.64p-254, 
0x0265,0x1.65p-254, 
0x0266,0x1.66p-254, 
0x0267,0x1.67p-254, 
0x0268,0x1.68p-254, 
0x0269,0x1.69p-254, 
0x026a,0x1.6ap-254, 
0x026b,0x1.6bp-254, 
0x026c,0x1.6cp-254, 
0x026d,0x1.6dp-254, 
0x026e,0x1.6ep-254, 
0x026f,0x1.6fp-254, 
0x0270,0x1.7p-254, 
0x0271,0x1.71p-254, 
0x0272,0x1.72p-254, 
0x0273,0x1.73p-254, 
0x0274,0x1.74p-254, 
0x0275,0x1.75p-254, 
0x0276,0x1.76p-254, 
0x0277,0x1.77p-254, 
0x0278,0x1.78p-254, 
0x0279,0x1.79p-254, 
0x027a,0x1.7ap-254, 
0x027b,0x1.7bp-254, 
0x027c,0x1.7cp-254, 
0x027d,0x1.7dp-254, 
0x027e,0x1.7ep-254, 
0x027f,0x1.7fp-254, 
0x0280,0x1.8p-254, 
0x0281,0x1.81p-254, 
0x0282,0x1.82p-254, 
0x0283,0x1.83p-254, 
0x0284,0x1.84p-254, 
0x0285,0x1.85p-254, 
0x0286,0x1.86p-254, 
0x0287,0x1.87p-254, 
0x0288,0x1.88p-254, 
0x0289,0x1.89p-254, 
0x028a,0x1.8ap-254, 
0x028b,0x1.8bp-254, 
0x028c,0x1.8cp-254, 
0x028d,0x1.8dp-254, 
0x028e,0x1.8ep-254, 
0x028f,0x1.8fp-254, 
0x0290,0x1.9p-254, 
0x0291,0x1.91p-254, 
0x0292,0x1.92p-254, 
0x0293,0x1.93p-254, 
0x0294,0x1.94p-254, 
0x0295,0x1.95p-254, 
0x0296,0x1.96p-254, 
0x0297,0x1.97p-254, 
0x0298,0x1.98p-254, 
0x0299,0x1.99p-254, 
0x029a,0x1.9ap-254, 
0x029b,0x1.9bp-254, 
0x029c,0x1.9cp-254, 
0x029d,0x1.9dp-254, 
0x029e,0x1.9ep-254, 
0x029f,0x1.9fp-254, 
0x02a0,0x1.ap-254, 
0x02a1,0x1.a1p-254, 
0x02a2,0x1.a2p-254, 
0x02a3,0x1.a3p-254, 
0x02a4,0x1.a4p-254, 
0x02a5,0x1.a5p-254, 
0x02a6,0x1.a6p-254, 
0x02a7,0x1.a7p-254, 
0x02a8,0x1.a8p-254, 
0x02a9,0x1.a9p-254, 
0x02aa,0x1.aap-254, 
0x02ab,0x1.abp-254, 
0x02ac,0x1.acp-254, 
0x02ad,0x1.adp-254, 
0x02ae,0x1.aep-254, 
0x02af,0x1.afp-254, 
0x02b0,0x1.bp-254, 
0x02b1,0x1.b1p-254, 
0x02b2,0x1.b2p-254, 
0x02b3,0x1.b3p-254, 
0x02b4,0x1.b4p-254, 
0x02b5,0x1.b5p-254, 
0x02b6,0x1.b6p-254, 
0x02b7,0x1.b7p-254, 
0x02b8,0x1.b8p-254, 
0x02b9,0x1.b9p-254, 
0x02ba,0x1.bap-254, 
0x02bb,0x1.bbp-254, 
0x02bc,0x1.bcp-254, 
0x02bd,0x1.bdp-254, 
0x02be,0x1.bep-254, 
