codepoint,values,subnormal
0x011e,0x0.23cp-8,*
0x011f,0x0.23ep-8,*
0x0120,0x0.24p-8,*
0x0121,0x0.242p-8,*
0x0122,0x0.244p-8,*
0x0123,0x0.246p-8,*
0x0124,0x0.248p-8,*
0x0125,0x0.24ap-8,*
0x0126,0x0.24cp-8,*
0x0127,0x0.24ep-8,*
0x0128,0x0.25p-8,*
0x0129,0x0.252p-8,*
0x012a,0x0.254p-8,*
0x012b,0x0.256p-8,*
0x012c,0x0.258p-8,*
0x012d,0x0.25ap-8,*
0x012e,0x0.25cp-8,*
0x012f,0x0.25ep-8,*
0x0130,0x0.26p-8,*
0x0131,0x0.262p-8,*
0x0132,0x0.264p-8,*
0x0133,0x0.266p-8,*
0x0134,0x0.268p-8,*
0x0135,0x0.26ap-8,*
0x0136,0x0.26cp-8,*
0x0137,0x0.26ep-8,*
0x0138,0x0.27p-8,*
0x0139,0x0.272p-8,*
0x013a,0x0.274p-8,*
0x013b,0x0.276p-8,*
0x013c,0x0.278p-8,*
0x013d,0x0.27ap-8,*
0x013e,0x0.27cp-8,*
0x013f,0x0.27ep-8,*
0x0140,0x0.28p-8,*
0x0141,0x0.282p-8,*
0x0142,0x0.284p-8,*
0x0143,0x0.286p-8,*
0x0144,0x0.288p-8,*
0x0145,0x0.28ap-8,*
0x0146,0x0.28cp-8,*
0x0147,0x0.28ep-8,*
0x0148,0x0.29p-8,*
0x0149,0x0.292p-8,*
0x014a,0x0.294p-8,*
0x014b,0x0.296p-8,*
0x014c,0x0.298p-8,*
0x014d,0x0.29ap-8,*
0x014e,0x0.29cp-8,*
0x014f,0x0.29ep-8,*
0x0150,0x0.2ap-8,*
0x0151,0x0.2a2p-8,*
0x0152,0x0.2a4p-8,*
0x0153,0x0.2a6p-8,*
0x0154,0x0.2a8p-8,*
0x0155,0x0.2aap-8,*
0x0156,0x0.2acp-8,*
0x0157,0x0.2aep-8,*
0x0158,0x0.2bp-8,*
0x0159,0x0.2b2p-8,*
0x015a,0x0.2b4p-8,*
0x015b,0x0.2b6p-8,*
0x015c,0x0.2b8p-8,*
0x015d,0x0.2bap-8,*
0x015e,0x0.2bcp-8,*
0x015f,0x0.2bep-8,*
0x0160,0x0.2cp-8,*
0x0161,0x0.2c2p-8,*
0x0162,0x0.2c4p-8,*
0x0163,0x0.2c6p-8,*
0x0164,0x0.2c8p-8,*
0x0165,0x0.2cap-8,*
0x0166,0x0.2ccp-8,*
0x0167,0x0.2cep-8,*
0x0168,0x0.2dp-8,*
0x0169,0x0.2d2p-8,*
0x016a,0x0.2d4p-8,*
0x016b,0x0.2d6p-8,*
0x016c,0x0.2d8p-8,*
0x016d,0x0.2dap-8,*
0x016e,0x0.2dcp-8,*
0x016f,0x0.2dep-8,*
0x0170,0x0.2ep-8,*
0x0171,0x0.2e2p-8,*
0x0172,0x0.2e4p-8,*
0x0173,0x0.2e6p-8,*
0x0174,0x0.2e8p-8,*
0x0175,0x0.2eap-8,*
0x0176,0x0.2ecp-8,*
0x0177,0x0.2eep-8,*
0x0178,0x0.2fp-8,*
0x0179,0x0.2f2p-8,*
0x017a,0x0.2f4p-8,*
0x017b,0x0.2f6p-8,*
0x017c,0x0.2f8p-8,*
0x017d,0x0.2fap-8,*
0x017e,0x0.2fcp-8,*
0x017f,0x0.2fep-8,*
0x0180,0x0.3p-8,*
0x0181,0x0.302p-8,*
0x0182,0x0.304p-8,*
0x0183,0x0.306p-8,*
0x0184,0x0.308p-8,*
0x0185,0x0.30ap-8,*
0x0186,0x0.30cp-8,*
0x0187,0x0.30ep-8,*
0x0188,0x0.31p-8,*
0x0189,0x0.312p-8,*
0x018a,0x0.314p-8,*
0x018b,0x0.316p-8,*
0x018c,0x0.318p-8,*
0x018d,0x0.31ap-8,*
0x018e,0x0.31cp-8,*
0x018f,0x0.31ep-8,*
0x0190,0x0.32p-8,*
0x0191,0x0.322p-8,*
0x0192,0x0.324p-8,*
0x0193,0x0.326p-8,*
0x0194,0x0.328p-8,*
0x0195,0x0.32ap-8,*
0x0196,0x0.32cp-8,*
0x0197,0x0.32ep-8,*
0x0198,0x0.33p-8,*
0x0199,0x0.332p-8,*
0x019a,0x0.334p-8,*
